k,current_theta,current_thetadot,force,reward
0,-3.141592653589793,0.0,0,-49.348022005446786
1,3.141592653589793,-7.264880518365992e-17,3,-58.348022005446786
2,-3.1393771672299144,0.44309727197575094,0,-49.298078509865846
3,-3.1371859655148566,0.43824034301158893,0,-49.22888437094121
4,-3.135025353597912,0.43212238338895875,0,-49.160592813931146
5,-3.132901495427802,0.424771634022041,0,-49.09340199437577
6,-3.130820396568663,0.41621977182777253,0,-49.027505667697845
7,-3.1287878876310913,0.4065017875144229,0,-48.96309259926038
8,-3.1268096083590566,0.3956558544069567,0,-48.90034599014524
9,-3.1248909924150707,0.38372318879717165,0,-48.8394429209463
10,-3.1230372529034236,0.37074790232942345,0,-48.78055381582098
11,-3.121253368668658,0.356776846953069,0,-48.723841928979404
12,-3.1195440714037055,0.3418594529905361,0,-48.66946285570994
13,-3.1179138335992795,0.3260475608851499,0,-48.61756406994469
14,-3.1163668573632517,0.3093952472055264,0,-48.568284490259884
15,-3.114907064135784,0.2919586454935283,0,-48.52175407608288
16,-3.1135380853230314,0.2737957625505273,0,-48.47809345574411
17,-3.1122632538692208,0.2549662907621238,0,-48.43741358786565
18,-3.1110855967838975,0.23553141706463732,0,-48.39981545742355
19,-3.1100078286381088,0.21555362915772522,0,-48.36538980765592
20,-3.109032346040276,0.19509651956653346,0,-48.33421690881821
21,-3.108161223099506,0.17422458815397873,0,-48.30636636460882
22,-3.1073962078811097,0.15300304367923784,0,-48.28189695690701
23,-3.1067387198561476,0.13149760499242336,0,-48.26085652927895
24,-3.106189848343908,0.1097743024478877,0,-48.24328190952155
25,-3.1057503519433594,0.0878992801097548,0,-48.229198871325885
26,-3.105420658946793,0.06593859931324718,0,-48.218622134955616
27,-3.1052008687261217,0.043958044134270166,0,-48.21155540665172
28,-3.1050907540795833,0.022022929307629363,0,-48.20799145629411
29,-3.105089764523977,0.00019791112127754557,0,-48.207912232674715
30,-3.1051970305149763,-0.021453198199823442,0,-48.211289015566436
31,-3.1054113685755826,-0.042867612121222656,0,-48.21808260360926
32,-3.1057312873103537,-0.06398374695419962,0,-48.22824353687957
33,-3.106154994280709,-0.08474139407103674,0,-48.24171235286187
34,-3.106680403714356,-0.10508188672943618,0,-48.25841987440584
35,-3.107305145019719,-0.12494826107261658,0,-48.278287528124594
36,-3.108026572074168,-0.1442854108897848,0,-48.30122769157509
37,-3.108841773252871,-0.1630402357405723,0,-48.32714406745731
38,-3.1097475821632043,-0.18116178206667904,0,-48.35593208297764
39,-3.1107405890478765,-0.19860137693440316,0,-48.38747931244167
40,-3.1118171528182414,-0.21531275407298522,0,-48.421665921075785
41,-3.1129734136777203,-0.2312521718957763,0,-48.458365128022244
42,-3.1142053062937913,-0.24637852321417333,0,-48.497443686412154
43,-3.1155085734756818,-0.26065343637806504,0,-48.53876237839195
44,-3.1168787803136877,-0.2740413676011947,0,-48.58217652296438
45,-3.1183113287349644,-0.2865096842553635,0,-48.62753649450131
46,-3.119801472429683,-0.29802873894375015,0,-48.67468824979574
47,-3.121344332100637,-0.3085719341907682,0,-48.72347386154088
48,-3.1229349109887057,-0.3181157776137713,0,-48.77373205615686
49,-3.124568110626058,-0.3266399274704811,0,-48.82529875392826
50,-3.126238746768584,-0.33412722850517385,0,-48.87800760946889
51,-3.1279415654588156,-0.34056373804631523,0,-48.93169055059194
52,-3.1296712591705074,-0.34593874233837657,0,-48.98617831373461
53,-3.1314224829861117,-0.3502447631208692,0,-49.04130097416389
54,-3.133189870758602,-0.3534775544980677,0,-49.096888469274916
55,-3.1349680512094684,-0.3556360901733102,0,-49.15277111338384
56,-3.1367516639152284,-0.356722541152014,0,-49.20878010251137
57,-3.138535375135466,-0.35674224404747845,0,-49.264748007752395
58,-3.1403138934362307,-0.35570366015299504,0,-49.32050925592771
59,3.1411033221159927,-0.3536183254726037,3,-58.345154993051636
60,3.141566304516217,0.09259648004489612,3,-58.34805163917008
61,-3.1389441573882833,0.5349690550171331,0,-49.2934713049928
62,-3.1362985537789716,0.5291207218623358,0,-49.209839966010755
63,-3.1336898051362536,0.5217497285435624,0,-49.127281251997985
64,-3.131125354468589,0.5128901335328804,0,-49.04603555588778
65,-3.1286124537309794,0.5025801475219785,0,-48.96633810867122
66,-3.126158143803418,0.490861985512332,0,-48.888418249224266
67,-3.123769235263345,0.47778170801453607,0,-48.81249871194005
68,-3.121452290003531,0.463389051962822,0,-48.73879493518935
69,-3.119213603743635,0.44773725197922765,0,-48.66751439357776
70,-3.1170591894804005,0.43088285264683435,0,-48.59885595689156
71,-3.1149947619180365,0.41288551247284566,0,-48.53300927852502
72,-3.113025722916836,0.3938078002400735,0,-48.47015421606244
73,-3.111157147994538,0.3737149844596594,0,-48.4104602865485
74,-3.1093937739112945,0.3526748166486913,0,-48.35408615882143
75,-3.107739987365475,0.3307573091638924,0,-48.30117918510835
76,-3.1061998148238406,0.30803450832693846,0,-48.251874973890324
77,-3.1047769135059484,0.28458026357838395,0,-48.20629700583945
78,-3.103474563538969,0.26046999339586163,0,-48.16455629441294
79,-3.102295661295427,0.23578044870839743,0,-48.12675109246147
80,-3.101242713922764,0.21058947453258547,0,-48.09296664597354
81,-3.100317835070023,0.18497577054824735,0,-48.063274995835364
82,-3.0995227418134164,0.15901865132128612,0,-48.0377348282396
83,-3.0988587527790665,0.1327978068699741,0,-48.016391374128105
84,-3.098326787457776,0.10639306425810202,0,-47.999276357804334
85,-3.097927366703354,0.07988415088445669,0,-47.986407994604136
86,-3.097660614402738,0.053350460123170684,0,-47.97779103726928
87,-3.097526260302969,0.026870819953739345,0,-47.973416870428984
88,-3.097523643976954,0.000523265203060834,0,-47.973263652361986
89,-3.0976517199069296,-0.02561518599519105,0,-47.97729650298715
90,-3.0979090636616102,-0.05146875093613245,0,-47.98546773681607
91,-3.0982938791401327,-0.07696309570452947,0,-47.997717139396094
92,-3.098804006853182,-0.10202554260988678,0,-48.01397228558116
93,-3.099436933209001,-0.1265852711637837,0,-48.034148897787645
94,-3.1001898007694364,-0.15057351208711464,0,-48.05815124222842
95,-3.101059419438712,-0.17392373385512963,0,-48.085872560967616
96,-3.1020422785452575,-0.19657182130908715,0,-48.11719553750454
97,-3.1031345597746824,-0.21845624588501342,0,-48.15199279347668
98,-3.1043321509098454,-0.2395182270325856,0,-48.19012741397082
99,-3.1056306603319483,-0.2597018844206224,0,-48.23145349884643
100,-3.1070254322346993,-0.2789543805501571,0,-48.27581673740891
101,-3.1085115625018074,-0.2972260534216582,0,-48.323055003720405
102,-3.110083915196456,-0.31447053892973076,0,-48.37299896980405
103,-3.1117371396098887,-0.33064488268660674,0,-48.42547273398235
104,-3.1134656878149136,-0.345709641004974,0,-48.480294461592344
105,-3.1152638326689197,-0.35962897080117884,0,-48.53727703533918
106,-3.1171256862099774,-0.3723707082115762,0,-48.59622871258352
107,-3.1190452183887163,-0.38390643574773486,0,-48.65695378690843
108,-3.1210162760779676,-0.3942115378502727,-3,-57.71925325137535
109,-3.1252480886615275,-0.8463625167119535,-3,-57.90751102938216
110,-3.131710031055526,-1.2923884787996929,-3,-58.20506539108244
111,-3.1403651077471193,-1.7310153383186644,-3,-58.609106459927325
112,3.132015194457717,-2.1610009949500206,0,-49.514588421587554
113,3.1213249851034885,-2.138041870845717,0,-49.17047061730541
114,3.1107803582381632,-2.1089253730650213,0,-48.82952880891752
115,3.1004114161050995,-2.07378842661273,0,-48.492814589409434
116,3.0902474894568592,-2.032785329648014,0,-48.16136935011532
117,3.080317054117284,-1.9860870679150628,0,-47.83621995356286
118,3.0706476512574787,-1.9338805719610617,0,-47.5183743975262
119,3.0612658116426648,-1.8763679229628363,0,-47.2088175058935
120,3.0521969840762635,-1.8137655132802109,0,-46.908506681737656
121,3.0434654682360955,-1.7463031680336085,0,-46.618367757196204
